title,location,brief,style,follow,price tot,price unit,
翠苑五区经典的三房户型南北通透,西湖-翠苑,翠苑五区  | 3室1厅 | 75.68平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1996年建板楼  -  翠苑,38人关注 / 共10次带看 / 7个月以前发布,348万,单价45984元/平米,
房源中上楼层 采光充足 视野开阔,西湖-翠苑,翠苑四区  | 2室1厅 | 55.36平米 | 南 | 简装 | 无电梯,高楼层(共7层)1993年建板楼  -  翠苑,38人关注 / 共6次带看 / 7个月以前发布,225万,单价40644元/平米,
房子是中间楼层，小户型，简单装修,西湖-翠苑,翠苑一区  | 2室1厅 | 42.52平米 | 南 | 其他 | 无电梯,中楼层(共7层)1988年建板楼  -  翠苑,3人关注 / 共4次带看 / 5个月以前发布,185万,单价43509元/平米,
翠苑佳居 三房朝南 南北通透 免双税,西湖-翠苑,翠苑佳居  | 3室2厅 | 113.7平米 | 南 北 | 精装 | 有电梯,低楼层(共11层)2001年建板楼  -  翠苑,7人关注 / 共1次带看 / 26天以前发布,530万,单价46614元/平米,
房子单价低，东边套，采光视野好，不沿街，总价低。,西湖-翠苑,翠苑三区  | 1室1厅 | 47.35平米 | 南 | 简装 | 无电梯,高楼层(共6层)1989年建板楼  -  翠苑,99人关注 / 共6次带看 / 6个月以前发布,168万,单价35481元/平米,
一房南一房北，拎包入住，房东诚心出售,西湖-翠苑,翠苑东四区  | 2室1厅 | 62.78平米 | 南 北 | 精装 | 无电梯,低楼层(共6层)1998年建板楼  -  翠苑,75人关注 / 共22次带看 / 2个月以前发布,240万,单价38229元/平米,
翠苑五区 3室1厅 450万,西湖-翠苑,翠苑五区  | 3室1厅 | 96.26平米 | 南 | 简装 | 有电梯,高楼层(共18层)1998年建板楼  -  翠苑,5人关注 / 共0次带看 / 27天以前发布,450万,单价46749元/平米,
通透两房、东边套、钻石楼层、没有税费,西湖-翠苑,翠苑二区北区  | 2室1厅 | 63.66平米 | 东 西 北 | 简装 | 无电梯,中楼层(共7层)1996年建板楼  -  翠苑,303人关注 / 共3次带看 / 8个月以前发布,230万,单价36130元/平米,
此房满五唯一、采光好、户型方正，业主诚心卖。,西湖-翠苑,翠苑二区  | 2室2厅 | 60.14平米 | 东 南 西 北 | 简装 | 无电梯,高楼层(共7层)1989年建板楼  -  翠苑,33人关注 / 共0次带看 / 7个月以前发布,278万,单价46226元/平米,
房源户型方正  视野开阔，采光充足，配套完善,西湖-翠苑,翠苑东四区  | 2室1厅 | 60.21平米 | 南 | 简装 | 无电梯,中楼层(共7层)1998年建板楼  -  翠苑,4人关注 / 共4次带看 / 19天以前发布,260万,单价43183元/平米,
翠苑一区，带一个大院子，200万两房。,西湖-翠苑,翠苑一区  | 2室0厅 | 46.85平米 | 南 | 精装 | 无电梯,低楼层(共7层)1988年建板楼  -  翠苑,18人关注 / 共1次带看 / 14天以前发布,200万,单价42690元/平米,
中间楼层 主卧朝南  前无遮挡 采光充足 视野开阔,西湖-翠苑,翠苑四区  | 2室1厅 | 54.77平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1993年建板楼  -  翠苑,8人关注 / 共12次带看 / 27天以前发布,230万,单价41994元/平米,
翠苑二区新上 小两房 两房朝南 免双税 诚售 南北通透,西湖-翠苑,翠苑二区  | 2室1厅 | 55.74平米 | 南 北 | 简装 | 无电梯,低楼层(共6层)1989年建板楼  -  翠苑,11人关注 / 共6次带看 / 4个月以前发布,230万,单价41264元/平米,
天苑花园电梯房，三房*明户型东边套，业主诚心卖,西湖-翠苑,天苑花园  | 3室1厅 | 89.55平米 | 东南 南 | 简装 | 有电梯,高楼层(共24层)1998年建塔楼  -  翠苑,141人关注 / 共7次带看 / 9个月以前发布,310万,单价34618元/平米,
